condition,t_start,ADE,noisy_ADE,ADE_delta,relative_improvement_percent,high_conf_ADE,low_conf_ADE,acceleration_RMS,curve_type
gaussian_medium,1,0.061277151107788086,0.06256657093763351,-0.0012894198298454285,2.06087661593397,0.016203591600060463,0.09414496272802353,0.2571369707584381,small_U-shaped
gaussian_medium,2,0.06081181392073631,0.06256657093763351,-0.0017547570168972015,2.80462392392632,0.020198287442326546,0.09231103956699371,0.2536846995353699,small_U-shaped
gaussian_medium,3,0.0609506219625473,0.06256657093763351,-0.0016159489750862122,2.582767364215938,0.02491644024848938,0.09075130522251129,0.2497715950012207,small_U-shaped
drift_medium,1,0.018343420699238777,0.01764802448451519,0.000695396214723587,-3.9403629303310677,0.004092177841812372,0.029560169205069542,0.17702539265155792,monotonic_worse
drift_medium,2,0.01948578655719757,0.01764802448451519,0.0018377620726823807,-10.413415248232901,0.005747945513576269,0.029837284237146378,0.17675167322158813,monotonic_worse
drift_medium,3,0.020810198038816452,0.01764802448451519,0.003162173554301262,-17.91800298710958,0.007394797168672085,0.030663419514894485,0.17643028497695923,monotonic_worse
burst_medium,1,0.07804496586322784,0.07475546002388,0.0032895058393478394,-4.400355289495956,0.014317197725176811,0.17239515483379364,0.43931785225868225,monotonic_worse
burst_medium,2,0.08275182545185089,0.07475546002388,0.007996365427970886,-10.696697505996905,0.023808041587471962,0.17251244187355042,0.4334593117237091,monotonic_worse
burst_medium,3,0.08835066109895706,0.07475546002388,0.013595201075077057,-18.186231575237695,0.03349947929382324,0.17342381179332733,0.42724746465682983,monotonic_worse
bias_medium,1,0.18905708193778992,0.1889956295490265,6.145238876342773e-05,-0.03251524329428298,0.042234715074300766,0.2881476879119873,0.17670468986034393,monotonic_worse
bias_medium,2,0.18927665054798126,0.1889956295490265,0.00028102099895477295,-0.14869179759623732,0.04237551614642143,0.2882859706878662,0.17647776007652283,monotonic_worse
bias_medium,3,0.18932950496673584,0.1889956295490265,0.0003338754177093506,-0.1766577452113735,0.0421929806470871,0.28814297914505005,0.1761949509382248,monotonic_worse
jump_medium,1,0.2600577473640442,0.2633684277534485,-0.003310680389404297,1.2570528736662316,0.004125571809709072,0.4234866201877594,0.3219442367553711,monotonic_better
jump_medium,2,0.25718310475349426,0.2633684277534485,-0.006185322999954224,2.348543845105304,0.006666657514870167,0.41809144616127014,0.3178842067718506,monotonic_better
jump_medium,3,0.2542140483856201,0.2633684277534485,-0.00915437936782837,3.475883364576339,0.0088640246540308,0.4125837981700897,0.31349921226501465,monotonic_better
combined_medium,1,0.19891712069511414,0.1990637630224228,-0.00014664232730865479,0.07366600785705875,0.04686868563294411,0.3044860064983368,0.257269024848938,tiny-t_only_improvement
combined_medium,2,0.19896553456783295,0.1990637630224228,-9.822845458984375e-05,0.0493452213996272,0.04904219135642052,0.30353283882141113,0.2538205087184906,tiny-t_only_improvement
combined_medium,3,0.19919940829277039,0.1990637630224228,0.00013564527034759521,-0.06814161868944273,0.05196193605661392,0.3027738332748413,0.24990808963775635,tiny-t_only_improvement
