condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,fused_tau05_gamma1,2,0.5,1,high,334,0.014083261601626873,0.004760466516017914,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865512490273,0.018179863691329956
gaussian_medium,fused_tau05_gamma1,2,0.5,1,mid,2177,0.04558815062046051,0.01396725419908762,0.04489900544285774,0.012720308266580105,0.09770017862319946,0.034692130982875824,0.056025851517915726
gaussian_medium,fused_tau05_gamma1,2,0.5,1,low,1489,0.09293901920318604,0.022223493084311485,0.08807715028524399,0.043179966509342194,0.18476271629333496,0.07671015709638596,0.1048867478966713
gaussian_medium,fused_tau05_gamma2,2,0.5,2,high,334,0.014083261601626873,0.004760466516017914,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865512490273,0.018179863691329956
gaussian_medium,fused_tau05_gamma2,2,0.5,2,mid,2177,0.04596405103802681,0.013418740592896938,0.045985884964466095,0.020996328443288803,0.08700422942638397,0.035552978515625,0.056534480303525925
gaussian_medium,fused_tau05_gamma2,2,0.5,2,low,1489,0.09350555390119553,0.021357981488108635,0.0886869952082634,0.05154544860124588,0.18476271629333496,0.07782025635242462,0.1046609953045845
gaussian_medium,fused_tau07_gamma1,2,0.7,1,high,334,0.014083261601626873,0.004760466516017914,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865512490273,0.018179863691329956
gaussian_medium,fused_tau07_gamma1,2,0.7,1,mid,2177,0.04536711797118187,0.014438251964747906,0.04536628723144531,0.004189496394246817,0.09770017862319946,0.03387442231178284,0.056058891117572784
gaussian_medium,fused_tau07_gamma1,2,0.7,1,low,1489,0.09293901920318604,0.022223493084311485,0.08807715028524399,0.043179966509342194,0.18476271629333496,0.07671015709638596,0.1048867478966713
gaussian_medium,fused_tau07_gamma2,2,0.7,2,high,334,0.014083261601626873,0.004760466516017914,0.014847654849290848,0.0016955116298049688,0.020977450534701347,0.010835865512490273,0.018179863691329956
gaussian_medium,fused_tau07_gamma2,2,0.7,2,mid,2177,0.045826930552721024,0.0135951591655612,0.0460149422287941,0.015935692936182022,0.08700422942638397,0.03471885621547699,0.056534480303525925
gaussian_medium,fused_tau07_gamma2,2,0.7,2,low,1489,0.09350555390119553,0.021357981488108635,0.0886869952082634,0.05154544860124588,0.18476271629333496,0.07782025635242462,0.1046609953045845
gaussian_medium,fused_tau09_gamma1,2,0.9,1,high,334,0.014106599614024162,0.005509355571120977,0.014316130429506302,0.0016955116298049688,0.029023855924606323,0.00993664562702179,0.018138429149985313
gaussian_medium,fused_tau09_gamma1,2,0.9,1,mid,2177,0.04536711797118187,0.014438251964747906,0.04536628723144531,0.004189496394246817,0.09770017862319946,0.03387442231178284,0.056058891117572784
gaussian_medium,fused_tau09_gamma1,2,0.9,1,low,1489,0.09293901920318604,0.022223493084311485,0.08807715028524399,0.043179966509342194,0.18476271629333496,0.07671015709638596,0.1048867478966713
gaussian_medium,fused_tau09_gamma2,2,0.9,2,high,334,0.014035581611096859,0.004768229089677334,0.01467655785381794,0.0016955116298049688,0.022039389237761497,0.010691164061427116,0.017843807116150856
