degradation,method,t_start,N,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,smooth_mean,smooth_std,ADE_vs_noisy_percent,delta_ADE_mean,delta_ADE_median,delta_ADE_std,improved_fraction_ADE,wilcoxon_p_vs_noisy,delta_RMSE_mean,improved_fraction_RMSE,delta_smooth_mean,smooth_improved_fraction,ADE_vs_kalman_percent,delta_ADE_vs_kalman_mean,delta_ADE_vs_kalman_median,improved_fraction_ADE_vs_kalman,wilcoxon_p_vs_kalman
gaussian_medium,noisy_input,-1,200,0.06256657093763351,0.0077235023491084576,0.06269949674606323,0.05730275809764862,0.06738557666540146,0.06978799402713776,0.008084760047495365,0.23192329704761505,0.10615459829568863,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,26.393754190319225,-0.0224351454526186,-0.018288273364305496,0.765,nan
gaussian_medium,kalman_cv,-1,200,0.08500171452760696,0.0281151682138443,0.08175967633724213,0.06424683332443237,0.10219494998455048,0.10003968328237534,0.03308471664786339,0.10518587380647659,0.03537381440401077,-35.85803609460529,0.0224351454526186,0.018288273364305496,0.027686169371008873,0.235,1.0,0.03025168366730213,0.2,-0.12673743069171906,1.0,0.0,0.0,0.0,0.0,nan
gaussian_medium,sdedit_t1,1,200,0.061277151107788086,0.00788599718362093,0.0615362748503685,0.05626700073480606,0.0659099817276001,0.06843482702970505,0.008304647170007229,0.22772395610809326,0.10650239139795303,2.06087661593397,-0.0012894240207970142,-0.001322997733950615,0.0017026516143232584,0.795,7.887722385679295e-19,-0.0013531637378036976,0.795,-0.004199328366667032,1.0,27.910688098077813,-0.023724565282464027,-0.020563218742609024,0.78,3.625311895227752e-22
gaussian_medium,sdedit_t2,2,200,0.06081181392073631,0.008393502794206142,0.06102513521909714,0.055424764752388,0.06544524431228638,0.06799358129501343,0.008942747488617897,0.22401531040668488,0.1069495677947998,2.80462392392632,-0.001754753291606903,-0.0019944794476032257,0.003315773094072938,0.765,1.674860201699921e-13,-0.001794413081370294,0.78,-0.007907970808446407,1.0,28.45813256980155,-0.024189896881580353,-0.021163668483495712,0.795,1.2256427123690647e-22
gaussian_medium,sdedit_t3,3,200,0.0609506219625473,0.00963281374424696,0.06055133789777756,0.054521594196558,0.06604200601577759,0.06825628876686096,0.010303200222551823,0.21981105208396912,0.1074918583035469,2.582767364215938,-0.0016159478109329939,-0.0025335047394037247,0.00551410811021924,0.7,8.325068989734064e-08,-0.001531703514046967,0.69,-0.012112230993807316,1.0,28.29483228511622,-0.024051092565059662,-0.020783541724085808,0.79,2.726762468599528e-22
gaussian_medium,sdedit_t5,5,200,0.06309295445680618,0.013565616682171822,0.060991812497377396,0.05349425971508026,0.06985395401716232,0.07084624469280243,0.014880181290209293,0.2109026163816452,0.10898444801568985,-0.8413175139442572,0.00052637979388237,-0.0016533397138118744,0.010936847887933254,0.575,0.09878603368997574,0.0010582524118945003,0.58,-0.021020682528614998,1.0,25.774491952965523,-0.02190876565873623,-0.01940370537340641,0.745,3.3330471436903044e-18
