degradation,traj_idx,method,t_start,ADE,RMSE,smooth,noisy_ADE,noisy_RMSE,noisy_smooth,kalman_ADE,kalman_RMSE,kalman_smooth,delta_ADE_vs_noisy,delta_RMSE_vs_noisy,delta_smooth_vs_noisy,delta_ADE_vs_kalman,delta_RMSE_vs_kalman,delta_smooth_vs_kalman,improved_ADE_vs_noisy,improved_RMSE_vs_noisy,improved_smooth_vs_noisy,improved_ADE_vs_kalman,improved_RMSE_vs_kalman,improved_smooth_vs_kalman
gaussian_medium,0,noisy_input,-1,0.05268967151641846,0.057725291699171066,0.25759485363960266,0.05268967151641846,0.057725291699171066,0.25759485363960266,0.12529787421226501,0.14517368376255035,0.15431571006774902,0.0,0.0,0.0,-0.07260820269584656,-0.08744838833808899,0.10327914357185364,False,False,False,True,True,False
gaussian_medium,1,noisy_input,-1,0.06313766539096832,0.07085802406072617,0.21430154144763947,0.06313766539096832,0.07085802406072617,0.21430154144763947,0.0972161591053009,0.10865356028079987,0.10967317223548889,0.0,0.0,0.0,-0.03407849371433258,-0.0377955362200737,0.10462836921215057,False,False,False,True,True,False
gaussian_medium,2,noisy_input,-1,0.051779210567474365,0.05571683496236801,0.4836506247520447,0.051779210567474365,0.05571683496236801,0.4836506247520447,0.09375806152820587,0.11739296466112137,0.1759970486164093,0.0,0.0,0.0,-0.041978850960731506,-0.06167612969875336,0.3076535761356354,False,False,False,True,True,False
gaussian_medium,3,noisy_input,-1,0.05588671565055847,0.061272185295820236,0.15313297510147095,0.05588671565055847,0.061272185295820236,0.15313297510147095,0.07630807906389236,0.10413453727960587,0.08461419492959976,0.0,0.0,0.0,-0.020421363413333893,-0.04286235198378563,0.06851878017187119,False,False,False,True,True,False
gaussian_medium,4,noisy_input,-1,0.05658530071377754,0.06404129415750504,0.1726716309785843,0.05658530071377754,0.06404129415750504,0.1726716309785843,0.05667905882000923,0.07265491038560867,0.0768871083855629,0.0,0.0,0.0,-9.375810623168945e-05,-0.008613616228103638,0.09578452259302139,False,False,False,True,True,False
gaussian_medium,5,noisy_input,-1,0.06796588748693466,0.07432424277067184,0.16809971630573273,0.06796588748693466,0.07432424277067184,0.16809971630573273,0.12682223320007324,0.15358968079090118,0.09472231566905975,0.0,0.0,0.0,-0.05885634571313858,-0.07926543802022934,0.07337740063667297,False,False,False,True,True,False
gaussian_medium,6,noisy_input,-1,0.056925155222415924,0.06360159814357758,0.46997445821762085,0.056925155222415924,0.06360159814357758,0.46997445821762085,0.11094464361667633,0.1248965859413147,0.17236582934856415,0.0,0.0,0.0,-0.054019488394260406,-0.06129498779773712,0.2976086139678955,False,False,False,True,True,False
gaussian_medium,7,noisy_input,-1,0.06172262877225876,0.07102378457784653,0.2411469668149948,0.06172262877225876,0.07102378457784653,0.2411469668149948,0.07777988165616989,0.09143956750631332,0.09678444266319275,0.0,0.0,0.0,-0.016057252883911133,-0.020415782928466797,0.14436252415180206,False,False,False,True,True,False
gaussian_medium,8,noisy_input,-1,0.06060759350657463,0.0739072784781456,0.19851376116275787,0.06060759350657463,0.0739072784781456,0.19851376116275787,0.13667991757392883,0.1608559936285019,0.12941202521324158,0.0,0.0,0.0,-0.0760723203420639,-0.08694871515035629,0.0691017359495163,False,False,False,True,True,False
gaussian_medium,9,noisy_input,-1,0.0659550279378891,0.07036367803812027,0.19999346137046814,0.0659550279378891,0.07036367803812027,0.19999346137046814,0.05514400452375412,0.061181992292404175,0.08773085474967957,0.0,0.0,0.0,0.01081102341413498,0.009181685745716095,0.11226260662078857,False,False,False,False,False,False
